ID,GeneAssociation,Fullname,Reaction,LowBound,UpBound
R_EX_glyc3p_e, , "Glycerol 3-phosphate exchange", M_glyc3p_e <-> M_glyc3p_b, -999999.0, 999999.0
R_PRMICI, b2024, "1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase", M_prfp_c -> M_prlp_c, 0.0, 999999.0
R_IPMD, b0073, "3-isopropylmalate dehydrogenase", M_3c2hmp_c + M_nad_c -> M_3c4mop_c + M_h_c + M_nadh_c, 0.0, 999999.0
R_DAPabc, , "M-diaminopimelic acid ABC transport", M_26dap__M_e + M_atp_c + M_h2o_c -> M_26dap__M_c + M_adp_c + M_h_c + M_pi_c, 0.0, 999999.0
R_EX_pi_e, , "Phosphate exchange", M_pi_e <-> M_pi_b, -999999.0, 999999.0
R_SERAT, b3607, "Serine O-acetyltransferase", M_accoa_c + M_ser__L_c <-> M_acser_c + M_coa_c, -999999.0, 999999.0
R_GLNS, (b3870 | b1297), "Glutamine synthetase", M_atp_c + M_glu__L_c + M_nh4_c -> M_adp_c + M_gln__L_c + M_h_c + M_pi_c, 0.0, 999999.0
R_RNTR1, b4238, "Ribonucleoside triphosphate reductase  ATP ", M_atp_c + M_trdrd_c -> M_datp_c + M_h2o_c + M_trdox_c, 0.0, 999999.0
R_DURIK1, b1238, "Deoxyuridine kinase (ATP:Deoxyuridine)", M_atp_c + M_duri_c -> M_adp_c + M_dump_c + M_h_c, 0.0, 999999.0
R_AGDC, b0677, "N-acetylglucosamine-6-phosphate deacetylase", M_acgam6p_c + M_h2o_c -> M_ac_c + M_gam6p_c, 0.0, 999999.0
R_FCLK, b2803, "L-fuculokinase", M_atp_c + M_fcl__L_c -> M_adp_c + M_fc1p_c + M_h_c, 0.0, 999999.0
R_FUCt, b2801, "L-fucose transport via proton symport", M_fuc__L_e + M_h_e <-> M_fuc__L_c + M_h_c, -999999.0, 999999.0
R_MANAO, b4323, "Mannonate oxidoreductase", M_mana_c + M_nad_c <-> M_fruur_c + M_h_c + M_nadh_c, -999999.0, 999999.0
R_OMPHHX, b2907, "2-octaprenyl-6-methoxyphenol hydroxylase", M_2omph_c + 0.5 M_o2_c -> M_2ombzl_c, 0.0, 999999.0
R_URIt2_copy2, b2406, "Uridine transport in via proton symport", M_h_e + M_uri_e <-> M_h_c + M_uri_c, -999999.0, 999999.0
R_ACLS, ((b3670 & b3671) | (b0077 & b0078) | (b3768 & b3769 & b3767)), "Acetolactate synthase", M_h_c + 2.0 M_pyr_c -> M_alac__S_c + M_co2_c, 0.0, 999999.0
R_AMMQT8_2, b3929, "S-adenosylmethione:2-demethylmenaquinone methyltransferase", M_2dmmq8_c + M_amet_c -> M_ahcys_c + M_h_c + M_mqn8_c, 0.0, 999999.0
R_MDH3, b2210, "Malate dehydrogenase (menaquinone 8 as acceptor)", M_mal__L_c + M_mqn8_c -> M_mql8_c + M_oaa_c, 0.0, 999999.0
R_FE2abc, b3409, "Iron (II) transport via ABC system", M_atp_c + M_fe2_e + M_h2o_c -> M_adp_c + M_fe2_c + M_h_c + M_pi_c, 0.0, 999999.0
R_EX_din_e, , "Deoxyinosine exchange", M_din_e <-> M_din_b, -999999.0, 999999.0
R_ETHAAL, (b2441 & b2440), "Ethanolamine ammonia-lyase", M_etha_c -> M_acald_c + M_nh4_c, 0.0, 999999.0
R_EX_lcts_e, , "Lactose exchange", M_lcts_e <-> M_lcts_b, -999999.0, 999999.0
R_GF6PTA, b3729, "Glutamine-fructose-6-phosphate transaminase", M_f6p_c + M_gln__L_c -> M_gam6p_c + M_glu__L_c, 0.0, 999999.0
R_MGSA, b0963, "Methylglyoxal synthase", M_dhap_c -> M_mthgxl_c + M_pi_c, 0.0, 999999.0
R_MOAT, b3633, "3-deoxy-D-manno-octulosonic acid transferase", M_ckdo_c + M_lipidA_c -> M_cmp_c + M_h_c + M_kdolipid4_c, 0.0, 999999.0
R_CTPS2, b2780, "CTP synthase (glutamine)", M_atp_c + M_gln__L_c + M_h2o_c + M_utp_c -> M_adp_c + M_ctp_c + M_glu__L_c + 2.0 M_h_c + M_pi_c, 0.0, 999999.0
R_THRD_L, (b3772 | b3117 | b2797 | b1814), "L-threonine deaminase", M_thr__L_c -> M_2obut_c + M_nh4_c, 0.0, 999999.0
R_EX_malttr_e, , "Maltotriose exchange", M_malttr_e <-> M_malttr_b, -999999.0, 999999.0
R_CYANST, b3425, "Cyanide sulfurtransferase", M_cyan_c + M_tsul_c -> M_h_c + M_so3_c + M_tcynt_c, 0.0, 999999.0
R_ACALD, b0351, "Acetaldehyde dehydrogenase (acetylating)", M_acald_c + M_coa_c + M_nad_c -> M_accoa_c + M_h_c + M_nadh_c, 0.0, 999999.0
R_MICITDr, (b1276 | b0118), "2-methylisocitrate dehydratase", M_2mcacn_c + M_h2o_c -> M_micit_c, 0.0, 999999.0
R_MMM2, b2917, "Methylmalonyl-CoA mutase", M_succoa_c -> M_mmcoa__R_c, 0.0, 999999.0
R_GND, b2029, "Phosphogluconate dehydrogenase", M_6pgc_c + M_nadp_c -> M_co2_c + M_nadph_c + M_ru5p__D_c, 0.0, 999999.0
R_EX_thymd_e, , "Thymidine exchange", M_thymd_e <-> M_thymd_b, -999999.0, 999999.0
R_AGPR, b3958, "N-acetyl-g-glutamyl-phosphate reductase", M_acg5sa_c + M_nadp_c + M_pi_c <-> M_acg5p_c + M_h_c + M_nadph_c, -999999.0, 999999.0
R_SUCCt2r, b0621, "Succinate transport via proton symport", M_h_e + M_succ_e <-> M_h_c + M_succ_c, -999999.0, 0.0
R_EX_gln__L_e, , "L-Glutamine exchange", M_gln__L_e <-> M_gln__L_b, -999999.0, 999999.0
R_HKNDDH_1, b0349, "2-hydroxy-6-ketonona-2,4-dienedioic acid hydrolase", M_h2o_c + M_hkndd_c -> 2.0 M_h_c + M_op4en_c + M_succ_c, 0.0, 999999.0
R_EX_sucr_e, , "Sucrose exchange", M_sucr_e <-> M_sucr_b, -999999.0, 999999.0
R_DMPPS, b0029, "1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase (dmpp)", M_h2mb4p_c + M_h_c + M_nadh_c -> M_dmpp_c + M_h2o_c + M_nad_c, 0.0, 999999.0
R_ARGSS, b3172, "Argininosuccinate synthase", M_asp__L_c + M_atp_c + M_citr__L_c -> M_amp_c + M_argsuc_c + M_h_c + M_ppi_c, 0.0, 999999.0
R_GRTT, b0421, "Geranyltranstransferase", M_grdp_c + M_ipdp_c -> M_frdp_c + M_ppi_c, 0.0, 999999.0
R_INDOLEt2r, b3161, "Indole transport via proton symport, reversible", M_h_e + M_indole_e <-> M_h_c + M_indole_c, -999999.0, 999999.0
R_EX_maltpt_e, , "Maltopentaose exchange", M_maltpt_e <-> M_maltpt_b, -999999.0, 999999.0
R_EX_galur_e, , "D-Galacturonate exchange", M_galur_e <-> M_galur_b, -999999.0, 999999.0
R_MALS, (b4014 | b2976), "Malate synthase", M_accoa_c + M_glx_c + M_h2o_c -> M_coa_c + M_h_c + M_mal__L_c, 0.0, 999999.0
R_THDPS, b0166, "Tetrahydrodipicolinate succinylase", M_h2o_c + M_succoa_c + M_thdp_c -> M_coa_c + M_sl2a6o_c, 0.0, 999999.0
R_CRNCBCT, b0038, "Crotonobetainyl-CoA: carnitine CoA transferase", M_crn_c + M_ctbtcoa_c <-> M_crncoa_c + M_ctbt_c, -999999.0, 999999.0
R_DDPA, (b2601 | b1704 | b0754), "3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase", M_e4p_c + M_h2o_c + M_pep_c -> M_2dda7p_c + M_pi_c, 0.0, 999999.0
R_EX_ala__D_e, , "D-Alanine exchange", M_ala__D_e <-> M_ala__D_b, -999999.0, 999999.0
R_THRA, (b0870 | b2551), "Threonine aldolase", M_thr__L_c <-> M_acald_c + M_gly_c, -999999.0, 999999.0
R_TRDR, b0888, "Thioredoxin reductase (NADPH)", M_h_c + M_nadph_c + M_trdox_c -> M_nadp_c + M_trdrd_c, 0.0, 999999.0
R_GAMpts, (b2415 & b2416 & b1818 & b1817 & b1819), "D-glucosamine transport via PEP:Pyr PTS", M_gam_e + M_pep_c -> M_gam6p_c + M_pyr_c, 0.0, 999999.0
R_GLUt4, b3653, "Na+/glutamate symport", M_glu__L_e + M_na1_e -> M_glu__L_c + M_na1_c, 0.0, 999999.0
R_NDPK5, b2518, "Nucleoside-diphosphate kinase (ATP:dGDP)", M_atp_c + M_dgdp_c <-> M_adp_c + M_dgtp_c, -999999.0, 999999.0
R_PYDXPP, , "Pyridoxal 5-phosphate phosphatase", M_h2o_c + M_pydx5p_c -> M_pi_c + M_pydx_c, 0.0, 999999.0
R_GLYCTO3, (b2979 & b2978), "Glycolate oxidase", M_glyclt_c + M_mqn8_c -> M_glx_c + M_mql8_c, 0.0, 999999.0
R_CYNTAH, b0340, "Cyanate aminohydrolase", M_cynt_c + 3.0 M_h_c + M_hco3_c -> 2.0 M_co2_c + M_nh4_c, 0.0, 999999.0
R_BSORy, b3551, "Biotin sulfoxide reductase", M_btnso_c + M_h_c + M_nadph_c -> M_btn_c + M_h2o_c + M_nadp_c, 0.0, 999999.0
R_EX_arab__L_e, , "L-Arabinose exchange", M_arab__L_e <-> M_arab__L_b, -999999.0, 999999.0
R_GLYK, b3926, "Glycerol kinase", M_atp_c + M_glyc_c -> M_adp_c + M_glyc3p_c + M_h_c, 0.0, 999999.0
R_NADTRHD, ((b1602 & b1603) | b3962), "NAD transhydrogenase", M_nad_c + M_nadph_c -> M_nadh_c + M_nadp_c, 0.0, 999999.0
R_EX_amp_e, , "AMP exchange", M_amp_e <-> M_amp_b, -999999.0, 999999.0
R_GLYCK, (b0514 | b3124), "Glycerate kinase", M_atp_c + M_glyc__R_c -> M_3pg_c + M_adp_c + M_h_c, 0.0, 999999.0
R_PPS, b1702, "Phosphoenolpyruvate synthase", M_atp_c + M_h2o_c + M_pyr_c -> M_amp_c + 2.0 M_h_c + M_pep_c + M_pi_c, 0.0, 999999.0
R_DDGALK, b3693, "2-dehydro-3-deoxygalactonokinase", M_2dh3dgal_c + M_atp_c -> M_2dh3dgal6p_c + M_adp_c + M_h_c, 0.0, 999999.0
R_ALAR_copy1, b4053, "Alanine racemase", M_ala__L_c <-> M_ala__D_c, -999999.0, 999999.0
R_CYTK1, b0910, "Cytidylate kinase (CMP)", M_atp_c + M_cmp_c <-> M_adp_c + M_cdp_c, -999999.0, 999999.0
R_ASPK, (b0002 | b4024 | b3940), "Aspartate kinase", M_asp__L_c + M_atp_c <-> M_4pasp_c + M_adp_c, -999999.0, 999999.0
R_PPNCL2, , "Phosphopantothenate-cysteine ligase", M_4ppan_c + M_ctp_c + M_cys__L_c -> M_4ppcys_c + M_cmp_c + M_h_c + M_ppi_c, 0.0, 999999.0
R_THMDt2_copy2, b2406, "Thymidine transport in via proton symport", M_h_e + M_thymd_e <-> M_h_c + M_thymd_c, -999999.0, 999999.0
R_ENO, b2779, "Enolase", M_2pg_c <-> M_h2o_c + M_pep_c, -999999.0, 999999.0
R_GLUN, (b2957 | b0485 | b1812 | b1524), "Glutaminase", M_gln__L_c + M_h2o_c -> M_glu__L_c + M_nh4_c, 0.0, 999999.0
R_O2t, , "O2 transport  diffusion ", M_o2_e <-> M_o2_c, -999999.0, 999999.0
R_F6PA, (b0825 | b3946), "Fructose 6-phosphate aldolase", M_f6p_c <-> M_dha_c + M_g3p_c, -999999.0, 999999.0
R_ADSS, b4177, "Adenylosuccinate synthase", M_asp__L_c + M_gtp_c + M_imp_c -> M_dcamp_c + M_gdp_c + 2.0 M_h_c + M_pi_c, 0.0, 999999.0
R_PHETA1, (b3770 | b4054 | b0928), "Phenylalanine transaminase", M_akg_c + M_phe__L_c <-> M_glu__L_c + M_phpyr_c, -999999.0, 999999.0
R_MLTP1, b3417, "Maltodextrin phosphorylase (maltopentaose)", M_maltpt_c + M_pi_c <-> M_g1p_c + M_maltttr_c, -999999.0, 999999.0
R_URIK2, b2066, "Uridine kinase (GTP:Uridine)", M_gtp_c + M_uri_c -> M_gdp_c + M_h_c + M_ump_c, 0.0, 999999.0
R_EDTXS3, b2378, "Endotoxin Synthesis (palmitoleoyl ACP)", M_hdeACP_c + M_kdo2lipid4_c -> M_ACP_c + M_kdo2lipid4p_c, 0.0, 999999.0
R_EX_glcur_e, , "D-Glucuronate exchange", M_glcur_e <-> M_glcur_b, -999999.0, 999999.0
R_GLUt2r, b4077, "L glutamate transport via proton symport  reversible", M_glu__L_e + M_h_e <-> M_glu__L_c + M_h_c, -999999.0, 999999.0
R_DMSOR1, (b0894 & b0896 & b0895), "Dimethyl sulfoxide reductase (Menaquinol 8)", M_dmso_c + M_mql8_c -> M_dms_c + M_h2o_c + M_mqn8_c, 0.0, 999999.0
R_NH4t, b0451, "Ammonia reversible transport", M_nh4_e <-> M_nh4_c, -999999.0, 999999.0
R_NTPTP1, b0160, "Nucleoside triphosphate tripolyhydrolase", M_dgtp_c + M_h2o_c -> M_dgsn_c + M_pppi_c, 0.0, 999999.0
R_MAN1PT2, b2049, "Mannose-1-phosphate guanylyltransferase (GDP)", M_gdp_c + M_h_c + M_man1p_c -> M_gdpmann_c + M_pi_c, 0.0, 999999.0
R_GALUi_copy2, (b1236 | b2042), "UTP-glucose-1-phosphate uridylyltransferase (irreversible)", M_g1p_c + M_h_c + M_utp_c -> M_ppi_c + M_udpg_c, 0.0, 999999.0
R_TRPt2r, (b0112 | b3709 | b3161), "L tryptophan reversible transport via proton symport", M_h_e + M_trp__L_e <-> M_h_c + M_trp__L_c, -999999.0, 999999.0
R_GHMT2r, b2551, "Glycine hydroxymethyltransferase, reversible", M_ser__L_c + M_thf_c -> M_gly_c + M_h2o_c + M_mlthf_c, 0.0, 999999.0
R_RNTR3, b4238, "Ribonucleoside triphosphate reductase  CTP ", M_ctp_c + M_trdrd_c -> M_dctp_c + M_h2o_c + M_trdox_c, 0.0, 999999.0
R_GALabc, (b2148 & b2150 & b2149), "D-galactose transport via ABC system", M_atp_c + M_gal_e + M_h2o_c -> M_adp_c + M_gal_c + M_h_c + M_pi_c, 0.0, 999999.0
R_EX_gua_e, , "Guanine exchange", M_gua_e <-> M_gua_b, -999999.0, 999999.0
R_PRAGSr, b4005, "Phosphoribosylglycinamide synthase", M_atp_c + M_gly_c + M_pram_c <-> M_adp_c + M_gar_c + M_h_c + M_pi_c, -999999.0, 999999.0
R_ICHORT, b0595, "Isochorismatase", M_h2o_c + M_ichor_c -> M_23ddhb_c + M_pyr_c, 0.0, 999999.0
R_PACCOAL, b1398, "Phenylacetate-CoA ligase", M_atp_c + M_coa_c + M_pac_c -> M_amp_c + M_phaccoa_c + M_ppi_c, 0.0, 999999.0
R_FCI, b2802, "L-fucose isomerase", M_fuc__L_c <-> M_fcl__L_c, -999999.0, 999999.0
R_FMNAT, b0025, "FMN adenylyltransferase", M_atp_c + M_fmn_c + M_h_c -> M_fad_c + M_ppi_c, 0.0, 999999.0
R_DHPTDCs, , "4,5-dihydroxy-2,3-pentanedione cyclization (spontaneous)", M_dhptd_c -> M_h2o_c + M_hmfurn_c, 0.0, 999999.0
R_EDD, b1851, "6-phosphogluconate dehydratase", M_6pgc_c -> M_2ddg6p_c + M_h2o_c, 0.0, 999999.0
R_DUTPDP, b3640, "DUTP diphosphatase", M_dutp_c + M_h2o_c -> M_dump_c + M_h_c + M_ppi_c, 0.0, 999999.0
R_FUCPt6_2, b3666, "Fucose 1-phosphate transport via phosphate antiport", M_fuc1p__L_e + 2.0 M_pi_c -> M_fuc1p__L_c + 2.0 M_pi_e, 0.0, 999999.0
R_PPNDH, b2599, "Prephenate dehydratase", M_h_c + M_pphn_c -> M_co2_c + M_h2o_c + M_phpyr_c, 0.0, 999999.0
R_AKGt2r, b2587, "2 oxoglutarate reversible transport via symport", M_akg_e + M_h_e <-> M_akg_c + M_h_c, -999999.0, 999999.0
R_EX_duri_e, , "Deoxyuridine exchange", M_duri_e <-> M_duri_b, -999999.0, 999999.0
R_CADVt, b4132, "Lysine/Cadaverine antiporter", M_15dap_c + M_h_e + M_lys__L_e -> M_15dap_e + M_h_c + M_lys__L_c, 0.0, 999999.0
R_EX_dms_e, , "Dimethyl sulfide exchange", M_dms_e <-> M_dms_b, -999999.0, 999999.0
R_EX_ade_e, , "Adenine exchange", M_ade_e <-> M_ade_b, -999999.0, 999999.0
R_EX_fum_e, , "Fumarate exchange", M_fum_e <-> M_fum_b, -999999.0, 999999.0
R_ADSL1r, b1131, "Adenylsuccinate lyase", M_dcamp_c <-> M_amp_c + M_fum_c, -999999.0, 999999.0
R_PPBNGS, b0369, "Porphobilinogen synthase", 2.0 M_5aop_c -> 2.0 M_h2o_c + M_h_c + M_ppbng_c, 0.0, 999999.0
R_ACONMT, b1519, "Trans-aconitate methyltransferase", M_acon_T_c + M_amet_c -> M_aconm_c + M_ahcys_c, 0.0, 999999.0
R_OCTDPS, b3187, "Octaprenyl pyrophosphate synthase", M_frdp_c + 5.0 M_ipdp_c -> M_octdp_c + 5.0 M_ppi_c, 0.0, 999999.0
R_EX_nad_e, , "Nicotinamide adenine dinucleotide exchange", M_nad_e <-> M_nad_b, -999999.0, 999999.0
R_OPHHX, b3835, "2-Octaprenylphenol hydroxylase", M_2oph_c + 0.5 M_o2_c -> M_2ohph_c, 0.0, 999999.0
R_PASYN_EC, (b3018 & b4041), "Phosphatidic acid synthase (Ecoli)", M_glyc3p_c + 0.14 M_hdeACP_c + 0.04 M_myrsACP_c + M_octeACP_c + 0.72 M_palmACP_c + 0.1 M_tdeACP_c -> 2.0 M_ACP_c + 0.02 M_pa_EC_c, 0.0, 999999.0
R_LPLIPA2, b3825, "Lysophospholipase L (acyl-glycerophosphoethanolamine)", 0.02 M_agpe_EC_c + M_h2o_c -> M_g3pe_c + M_h_c + 0.36 M_hdca_c + 0.07 M_hdcea_c + 0.5 M_ocdcea_c + 0.02 M_ttdca_c + 0.05 M_ttdcea_c, 0.0, 999999.0
R_GLCDe, b0124, "Glucose dehydrogenase (ubiquinone-8 as acceptor)", M_glc__D_e + M_h2o_e + M_q8_c -> M_glcn_e + M_h_e + M_q8h2_c, 0.0, 999999.0
R_DHORTS, b1062, "Dihydroorotase", M_dhor__S_c + M_h2o_c <-> M_cbasp_c + M_h_c, -999999.0, 999999.0
R_LGTHL, b1651, "Lactoylglutathione lyase", M_gthrd_c + M_mthgxl_c -> M_lgt__S_c, 0.0, 999999.0
R_RBFSb, b0415, "Riboflavin synthase", 2.0 M_dmlz_c -> M_4r5au_c + M_ribflv_c, 0.0, 999999.0
R_BSORx, b3551, "Biotin sulfoxide reductase", M_btnso_c + M_h_c + M_nadh_c -> M_btn_c + M_h2o_c + M_nad_c, 0.0, 999999.0
R_HPPPNt2r, b0353, "3-(3-hydroxyphenyl)propionate transport via proton symport, reversible", M_3hpppn_e + M_h_e <-> M_3hpppn_c + M_h_c, -999999.0, 999999.0
R_MDH2, b2210, "Malate dehydrogenase (ubiquinone 8 as acceptor)", M_mal__L_c + M_q8_c -> M_oaa_c + M_q8h2_c, 0.0, 999999.0
R_NTPP5, b2781, "Nucleoside triphosphate pyrophosphorylase (datp)", M_datp_c + M_h2o_c -> M_damp_c + M_h_c + M_ppi_c, 0.0, 999999.0
R_TPI, b3919, "Triose-phosphate isomerase", M_dhap_c <-> M_g3p_c, -999999.0, 999999.0
R_TALA, (b2464 | b0008), "Transaldolase", M_g3p_c + M_s7p_c <-> M_e4p_c + M_f6p_c, -999999.0, 999999.0
R_AACPS3, b2836, "Acyl-[acyl-carrier-protein] synthetase  (n-C16:0)", M_ACP_c + M_atp_c + M_hdca_c -> M_amp_c + M_palmACP_c + M_ppi_c, 0.0, 999999.0
R_DDGLCNt2r, b3909, "2-dehydro-3-deoxy-D-gluconate transport via proton symport, reversible", M_2ddglcn_e + M_h_e <-> M_2ddglcn_c + M_h_c, -999999.0, 999999.0
R_GLYt2r, (b1801 | b4208 | b0007), "Glycine reversible transport via proton symport", M_gly_e + M_h_e <-> M_gly_c + M_h_c, -999999.0, 999999.0
R_ADA, b1623, "Adenosine deaminase", M_adn_c + M_h2o_c + M_h_c -> M_ins_c + M_nh4_c, 0.0, 999999.0
R_DPR, (b0425 | b3774), "2-dehydropantoate 2-reductase", M_2dhp_c + M_h_c + M_nadph_c -> M_nadp_c + M_pant__R_c, 0.0, 999999.0
R_HYD1, ((b0974 & b0972 & b0973) | (b2721 & b2723 & b2724 & b2722 & b2720 & b2719) | (b2994 & b2997)), "Hydrogenase (ubiquinone-8: 2 protons)", M_h2_c + 2.0 M_h_c + M_q8_c -> 2.0 M_h_e + M_q8h2_c, 0.0, 999999.0
R_LYSDC, (b0186 | b4131), "Lysine decarboxylase", M_h_c + M_lys__L_c -> M_15dap_c + M_co2_c, 0.0, 999999.0
R_HPYRI, b0508, "Hydroxypyruvate isomerase", M_hpyr_c <-> M_2h3oppan_c, -999999.0, 999999.0
R_DBTS, b0778, "Dethiobiotin synthase", M_atp_c + M_co2_c + M_dann_c <-> M_adp_c + M_dtbt_c + 3.0 M_h_c + M_pi_c, -999999.0, 999999.0
R_ASAD, b3433, "Aspartate-semialdehyde dehydrogenase", M_aspsa_c + M_nadp_c + M_pi_c <-> M_4pasp_c + M_h_c + M_nadph_c, -999999.0, 999999.0
R_EX_asn__L_e, , "L-Asparagine exchange", M_asn__L_e <-> M_asn__L_b, -999999.0, 999999.0
R_EX_fuc__L_e, , "L-Fucose exchange", M_fuc__L_e <-> M_fuc__L_b, -999999.0, 999999.0
R_GPDDA2, b2239, "Glycerophosphodiester phosphodiesterase (Glycerophosphoethanolamine)", M_g3pe_c + M_h2o_c -> M_etha_c + M_glyc3p_c + M_h_c, 0.0, 999999.0
R_EX_tre_e, , "Trehalose exchange", M_tre_e <-> M_tre_b, -999999.0, 999999.0
R_DXYLK, b3564, "1-Deoxy-D-xylulose kinase", M_atp_c + M_dxyl_c -> M_adp_c + M_dxyl5p_c + M_h_c, 0.0, 999999.0
R_ALAabc, (b3455 & b3457 & b3454 & b3460 & b3456), "L-alanine transport via ABC system", M_ala__L_e + M_atp_c + M_h2o_c -> M_adp_c + M_ala__L_c + M_h_c + M_pi_c, 0.0, 999999.0
R_HMBS, b3805, "Hydroxymethylbilane synthase", M_h2o_c + 4.0 M_ppbng_c -> M_hmbil_c + 4.0 M_nh4_c, 0.0, 999999.0
R_FBA, (b1773 | b2925 | b2097), "Fructose-bisphosphate aldolase", M_fdp_c <-> M_dhap_c + M_g3p_c, -999999.0, 999999.0
R_PIabc, (b3725 & b3727 & b3726 & b3728), "Phosphate transport via ABC system", M_atp_c + M_h2o_c + M_pi_e -> M_adp_c + M_h_c + 2.0 M_pi_c, 0.0, 999999.0
R_UPPRT, b2498, "Uracil phosphoribosyltransferase", M_prpp_c + M_ura_c -> M_ppi_c + M_ump_c, 0.0, 999999.0
R_RNDR2, (b2234 & b2235), "Ribonucleoside-diphosphate reductase (GDP)", M_gdp_c + M_trdrd_c -> M_dgdp_c + M_h2o_c + M_trdox_c, 0.0, 999999.0
R_PDH, (b0114 & b0116 & b0115), "Pyruvate dehydrogenase", M_coa_c + M_nad_c + M_pyr_c -> M_accoa_c + M_co2_c + M_nadh_c, 0.0, 999999.0
R_GALTpts, (b2415 & b2092 & b2094 & b2416 & b2093), "Galactitol transport via PEP:Pyr PTS", M_galt_e + M_pep_c -> M_galt1p_c + M_pyr_c, 0.0, 999999.0
